dates,info,info2
2018-01-01,Tahun Baru 2018 Masehi,
2018-02-16,Tahun Baru Imlek 2569 Kongzili,
2018-03-17,Hari Raya Nyepi Tahun Baru Saka 1940,
2018-03-30,Wafat Isa Al Masih,
2018-04-14,Isra Mikraj Nabi Muhammad SAW,
2018-05-01,Hari Buruh International,
2018-05-10,Kenaikan Isa Al Masih,
2018-05-29,Hari Raya Waisak 2562,
2018-06-01,Hari Lahir Pancasila,
2018-06-13,Cuti Bersama Hari Raya Idul Fitri 1439 Hijriyah,
2018-06-14,Cuti Bersama Hari Raya Idul Fitri 1439 Hijriyah,
2018-06-15,Hari Raya Idul Fitri 1439 Hijriyah,
2018-06-16,Hari Raya Idul Fitri 1439 Hijriyah,
2018-06-18,Cuti Bersama Hari Raya Idul Fitri 1439 Hijriyah,
2018-06-19,Cuti Bersama Hari Raya Idul Fitri 1439 Hijriyah,
2018-08-17,Hari Kemerdekaan Republik Indonesia,
2018-08-22,Hari Raya Idul Adha 1439 Hijriyah,
2018-09-11,Tahun Baru Islam 1440 Hijriyah,
2018-11-20,Maulid Nabi Muhammad SAW,
2018-12-24,Cuti Bersama Hari Raya Natal,
2018-12-25,Hari Raya Natal,
2019-01-01,Tahun Baru 2019 Masehi,
2019-02-05,Tahun Baru Imlek 2570 Kongzili,
2019-03-07,Hari Raya Nyepi Tahun Baru Saka 1941,
2019-04-03,Isra Mikraj Nabi Muhammad SAW,
2019-04-19,Wafat ISA Al Masih,
2019-05-01,Hari Buruh International,
2019-05-19,Hari Raya Waisak 2563,
2019-05-30,Kenaikan ISA Al Masih,
2019-06-01,Hari Lahir Pancasila,
2019-06-03,Cuti Bersama Hari Raya Idul Fitri 1440 Hijriyah,
2019-06-04,Cuti Bersama Hari Raya Idul Fitri 1440 Hijriyah,
2019-06-05,Hari Raya Idul Fitri 1440 Hijriyah,
2019-06-06,Hari Raya Idul Fitri 1440 Hijriyah,
2019-06-07,Cuti Bersama Hari Raya Idul Fitri 1440 Hijriyah,
2019-08-11,Hari Raya Idul Adha 1440 Hijriyah,
2019-08-17,Hari Kemerdekaan Republik Indonesia,
2019-09-01,Tahun Baru Islam 1441 Hijriyah,
2019-11-09,Maulid Nabi Muhammad SAW,
2019-12-24,Cuti Bersama Hari Raya Natal,
2019-12-25,Hari Raya Natal,
2020-01-01,Tahun baru 2020 masehi,
2020-01-25,Tahun baru imlek 2571 Kongzili,
2020-03-22,Isra Mikraj Nabi Muhammad SAW,
2020-03-25,Hari Suci Nyepi Tahun Baru Saka 1942,
2020-04-10,Wafat Isa Al Masih,
2020-05-01,Hari Buruh Internasional,
2020-05-07,Hari Raya Waisak 2564,
2020-05-21,Kenaikan Isa Al Masih,
2020-05-22,Cuti bersama Hari Raya Idul Fitri,
2020-05-24,Hari Raya Idul Fitri 1441 Hijriyah,
2020-05-25,Hari Raya Idul Fitri 1441 Hijriyah,
2020-05-26,Cuti bersama Hari Raya Idul Fitri,
2020-05-27,Cuti bersama Hari Raya Idul Fitri,
2020-06-01,Hari Lahir Pancasila,
2020-07-31,Hari Raya Idul Adha 1441 Hijriyah,
2020-08-17,Hari Kemerdekaan RI,
2020-08-20,Maulid Nabi Muhammad SAW,
2020-12-24,Cuti bersama Hari Raya Natal,
2020-12-25,Hari Raya Natal,
2022-01-01,Tahun Baru 2022 Masehi,
2022-02-01,Tahun Baru Imlek 2573 Kongzili,
2022-02-28,Isra Mikraj Nabi Muhammad SAW,
2022-03-03,Hari Suci Nyepi Tahun Baru Saka 1944,
2022-04-15,Wafat Isa Al Masih,
2022-05-01,Hari Buruh Internasional,
2022-05-02,Hari Raya Idul Fitri 1443 Hijriyah,
2022-05-03,Hari Raya Idul Fitri 1443 Hijriyah,
2022-05-16,Hari Raya Waisak 2566 BE,
2022-05-26,Kenaikan Isa Al Masih,
2022-06-01,Hari Lahir Pancasila,
2022-07-09,Hari Raya Idul Adha 1443 Hijriyah,
2022-07-30,Tahun Baru Islam 1444 Hijriyah,
2022-08-17,Hari Kemerdekaan Republik Indonesia,
2022-10-08,Maulid Nabi Muhammad SAW,
2022-12-25,Hari Raya Natal,
